"AC-1","3","0","Access Control Policy and Procedures","The organization develops, disseminates, and reviews/updates [ Assignment: organization-defined frequency ]: A formal, documented access control policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organ","This control is intended to produce the policy and procedures that are required for the effective implementation of selected security controls and control enhancements in the access control family. The policy and procedures are consistent with applicable ","1","1","1"
"AC-2","3","0","Account Management","The organization manages information system accounts, including: Identifying account types (i.e., individual, group, system, application, guest/anonymous, and temporary); Establishing conditions for group membership; Identifying authorized users of the in","The identification of authorized users of the information system and the specification of access privileges is consistent with the requirements in other security controls in the security plan. Users requiring administrative privileges on information syste","1","2","1"
"AC-3","3","0","Access Enforcement","The information system enforces approved authorizations for logical access to the system in accordance with applicable policy.","Access control policies (e.g., identity-based policies, role-based policies, attribute-based policies) and access enforcement mechanisms (e.g., access control lists, access control matrices, cryptography) are employed by organizations to control access be","1","10","1"
"AC-4","2","0","Information Flow Enforcement","The information system enforces approved authorizations for controlling the flow of information within the system and between interconnected systems in accordance with applicable policy.","Information flow control regulates where information is allowed to travel within an information system and between information systems (as opposed to who is allowed to access the information) and without explicit regard to subsequent accesses to that info","1","17","1"
"AC-5","2","0","Separation of Duties","The organization: Separates duties of individuals as necessary, to prevent malevolent activity without collusion; Documents separation of duties; and Implements separation of duties through assigned information system access authorizations.","Examples of separation of duties include: (i) mission functions and distinct information system support functions are divided among different individuals/roles; (ii) different individuals perform information system support functions (e.g., system manageme","1","35","1"
"AC-6","2","0","Least Privilege","The organization employs the concept of least privilege, allowing only authorized accesses for users (and processes acting on behalf of users) which are necessary to accomplish assigned tasks in accordance with organizational missions and business functio","The access authorizations defined in this control are largely implemented by control AC-3. The organization employs the concept of least privilege for specific duties and information systems (including specific ports, protocols, and services) in accordanc","1","36","1"
"AC-7","3","0","Unsuccessful Login Attempts","The information system: Enforces a limit of [ Assignment: organization-defined number ] consecutive invalid login attempts by a user during a [ Assignment: organization-defined time period ]; and Automatically [ Selection: locks the account/node for an [ ","Due to the potential for denial of service, automatic lockouts initiated by the information system are usually temporary and automatically release after a predetermined time period established by the organization. If a delay algorithm is selected, the org","2","43","1"
"AC-8","3","0","System Use Notification","The information system: Displays an approved system use notification message or banner before granting access to the system that provides privacy and security notices consistent with applicable federal laws, Executive Orders, directives, policies, regulat","System use notification messages can be implemented in the form of warning banners displayed when individuals log in to the information system. System use notification is intended only for information system access that includes an interactive login inter","1","46","1"
"AC-9","0","0","Previous Logon (Access) Notification","The information system notifies the user, upon successful logon (access), of the date and time of the last logon (access).","This control is intended to cover both traditional logons to information systems and general accesses to information systems that occur in other types of architectural configurations (e.g., service oriented architectures).","0","47","1"
"AC-10","1","0","Concurrent Session Control","The information system limits the number of concurrent sessions for each system account to [ Assignment: organization-defined number ].","The organization may define the maximum number of concurrent sessions for an information system account globally, by account type, by account, or a combination. This control addresses concurrent sessions for a given information system account and does not","2","51","1"
